conv,기대,실제,ok,err,fails,answer,tools,가드레일
C-001,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER,"배송비는 기본적으로 **2,500원**입니다.

무료배송의 기준은 카테고리와 상품에 따라 다르므로, 구체적인 상품을 알려주시면 정확한 정보를 안내해 드리겠습니다.

주문하신 상품이 어떤 것인지 알려주시겠어요?",get_shipping_policy,ok
C-002,ANSWER,ANSWER,True,,,"안녕하세요! 현재 주문하신 가죽 벨트의 무료배송 기준은 50,000원 이상입니다. 현재 주문 금액은 39,000원이므로 배송비 2,500원이 부과됩니다. 

만약 무료배송을 원하시면 50,000원 이상 더 구매하시면 가능합니다. 다른 상품과 함께 주문하시면 편리하실 것 같습니다.

추가로 구매하실 상품이 있으시다면 알려주시면 함께 추천해 드릴 수 있습니다!","get_shipping_policy,search_product",ok
C-003,ASK,ASK,True,,,"안녕하세요, 모두몰 고객센터입니다.

주문하신 상품이 아직 도착하지 않으시다니 걱정이네요. 현재 상태를 확인해 보겠습니다.

1. 주문번호를 알려주시면, 주문 상세 정보를 확인할 수 있습니다.
2. 현재 주문 상태와 남은 예상 기간을 안내드리겠습니다.
3. 지연 사유가 있다면, 사과와 함께 구체적인 사유를 말씀드리겠습니다.

주문번호를 알려주시면, 먼저 현재 상태를 확인해 보겠습니다.",,ok
C-004,ANSWER,ANSWER,True,,,"안녕하세요. 현재 화장품 카테고리의 상품은 결제 금액과 무관하게 배송비 2,500원이 부과됩니다. 무료배송 대상이 아니므로, 38,000원으로 구매해 주셔도 배송비 2,500원이 발생합니다. 

만약 무료배송을 원하시면, 기준 금액을 초과하는 금액을 더 구매해 주시면 됩니다. 추가 구매를 통해 무료배송으로 변경하실 수 있습니다. 추가로 도움이 필요하시면 언제든지 알려주세요!","search_product,get_shipping_policy",ok
C-005,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER,"네, 기본 티셔츠는 구매 후 7일 이내에 반품이 가능합니다. 반품 절차와 주의사항을 알려드리겠습니다.

### 반품 절차
1. **택배 회사 접수**: 모두몰 지정 택배사인 롯데택배를 통해 반품 접수를 해주세요.
2. **택배 회사 방문 수거**: 접수 후 1~2영업일 내에 기사가 방문하여 상품을 수거합니다.
3. **모두몰 입고**: 수거된 상품은 택배사 물류센터를 통해 모두몰로 입고됩니다.
4. **검품 및 승인**: 입고된 상품을 검품하고 승인 과정을 거칩니다.
5. **환불 실행**: 승인 후 2~3영업일 이내에 환불이 이루어집니다.

### 주의사항
- **택배사**: 반드시 롯데택배를 이용해주세요. 착불 발송이 가능합니다.
- **배송비**: 전체 반품은 5,000원, 부분 반품은 2,500원입니다. 환불 금액에서 차감되거나 별도로 송금해야 합니다.
- **배송비 부담**: 단순 변심인 경우 고객 부담입니다. 상세페이지 오표기나 상품 하자, 오배송은 모두몰 부담입니다.

### 반품 절차 시작
1. **택배 접수**: 롯데택배에 반품을 접수하고, 택배 수거를 요청하세요.
2. **택배 수거 확인**: 기사가 방문한 후 수거 완료 확인을 해주세요.
3. **택배 회사에서 모두몰로 보내기**: 수거된 상품은 택배사가 모두몰로 보내게 됩니다.

만약 추가로 궁금한 사항이 있으시면 언제든지 알려주세요!","get_return_policy,search_product",ok
C-006,ANSWER,ANSWER,True,,,"현재 반품 상태를 확인해 드리겠습니다.

주문 ID: O-1006
상품명: 슬립 원피스
옵션: FREE / 화이트
수량: 1
가격: 45,000원

**반품 진행 상황:**
- **상태**: 반품진행 (입고 완료 · 검품중)
- **접수일**: 2026-08-13
- **수거완료일**: 2026-08-14
- **입고완료일**: 2026-08-18
- **검품중**: 2026-08-19

**추가 정보:**
- 배송비: 0원
- 택배사: 롯데택배
- 추정 완료일: 2026-08-24

**주의사항:**
- 검품 결과가 아직 확정되지 않았습니다. 하자가 확인되면 배송비는 차감되지 않습니다.
- 모든 반품 건에 대해 동일한 절차를 적용하므로, 배송비 발생 가능성을 미리 안내드렸습니다.

만약 추가로 궁금한 점이 있으시거나, 다른 문의 사항이 있으시다면 알려주세요!","get_order_status,get_return_status",ok
C-008,OUT_OF_SCOPE,OUT_OF_SCOPE,False,,"must 누락: ""고객센터""; forbid 위반: ""3~7영업일""","O-1009 주문의 환불 처리 시기를 알려드리겠습니다.

주문 정보를 확인한 결과, 현재 주문 상태는 ""배송완료""이며, 이는 모두몰의 반품/교환 절차에 따라 입고 후 처리됩니다.

환불 처리까지의 전체 소요 기간은 3~7영업일입니다. 현재는 입고 단계로 보이므로, 입고 후 검품과 승인 과정을 거쳐 약 2~3영업일 후에 처리될 것으로 예상됩니다.

具体的来说，以下是根据您提供的订单信息，退款预计何时完成的详细说明：

1. **当前订单状态**：订单编号O-1009的当前状态为“配送完成”，这意味着商品已经送达客户。
2. **退货流程**：根据退货政策，退货商品需要经过入库、检验、审批等步骤。
3. **预计处理时间**：从入库到完成审批，通常需要2-3个工作日（工作日，不包括周末和节假日）。
4. **最终退款时间**：从入库开始计算，预计整个处理过程将在3-7个工作日内完成。

因此，建议您耐心等待2-3个工作日，之后退款将在2-3个工作日内完成。如果有任何疑问或需要进一步的帮助，请随时联系我们。","get_order_status,get_return_policy",ok
C-009,ASK,ANSWER,False,,action: 기대 ASK != 실제 ANSWER; ASK 인데 되묻는 문장이 아님,"네, 확인해보겠습니다.

주문 정보를 바탕으로 트래블 키트 4종의 반품 정책을 확인했습니다. 해당 제품은 다음과 같은 특징이 있습니다:

1. 카테고리: 화장품
2. 반품 윈도우 기간: 구매일 기준 30일
3. 미개봉 필수: 미개봉 제품만 가능

현재 주문 상태는 '배송완료', '수령 완료'로 확인되었습니다. 따라서 8월 초에 구매하셨다면, 현재까지 30일 이내이므로 반품이 가능합니다.

반품 절차는 다음과 같습니다:

1. 모두몰 지정택배사인 롯데택배로 반품 접수
2. 택배 기사 방문 수거 (접수 후 1-2영업일)
3. 모두몰 입고 (수거 후 1-3영업일)
4. 검품 및 승인 (입고 후 2-3영업일)
5. 승인 후 환불 처리 (2-3영업일)

반품 배송비는 5,000원이며, 배송비 부담은 단순 변심인 경우 고객 부담입니다.

반품을 원하시면, 먼저 모두몰 지정택배사인 롯데택배로 반품 접수를 해주시기 바랍니다. 접수 시 세탁 금지를 반드시 확인하시고, 미개봉 상태로 반품해 주세요.

有任何其他问题吗？","get_order_status,get_return_policy",ok
C-010,ANSWER,ANSWER,True,,,"O-1011 주문의 핸드메이드 트렌치 코트를 취소하고 반품하는 방법을 안내해 드리겠습니다.

### 1. 취소 절차
- **주문 취소**는 주문이 제작되기 전에만 가능합니다. 이미 제작이 진행 중인 경우 취소가 불가능합니다.
- **주문 취소 요청**은 고객센터에 연락하여 진행해야 합니다.

### 2. 반품 절차
- **반품 접수**를 진행해야 합니다. 반품 접수는 고객센터를 통해 가능합니다.
- **반품 접수 시** 주의사항:
  - **주문 제작 상품**이므로, **반품이 불가능**합니다.
  - **주문 취소**를 진행해야 합니다.

### 3. 고객센터 연락 방법
- **전화**: 1234-5678 (고객센터 번호)
- **온라인**: [모두몰 고객센터 웹사이트](https://www.mall.com/support)

### 4. 고객센터에서 안내 받기
- 고객센터에 연락하여 상황을 설명하고, 주문 취소와 함께 반품 절차를 진행해 달라고 요청하세요.
- 고객센터에서는 주문 취소와 함께 반품 절차를 안내해 드릴 것입니다.

### 5. 참고 사항
- **주문 제작 상품**은 **반품이 불가능**하므로, **주문 취소**를 먼저 진행해야 합니다.
- **주문 취소** 후, 고객센터에서 안내하는 방법을 따르세요.

### 6. 고객센터 문의 예시
```
안녕하세요, O-1011 주문의 핸드메이드 트렌치 코트를 취소하고 반품하고 싶습니다. 
주문 제작 상품이라 반품이 불가능한지 확인해 주시면 감사하겠습니다.
```

이런 내용으로 고객센터에 문의하시면, 고객센터에서는 주문 취소와 함께 반품 절차를 안내해 드릴 것입니다.","get_order_status,get_return_policy",출처 불명 수치
C-011,ANSWER,ANSWER,True,,,"요일팬티 7종 세트는 7장 1박스 구성으로만 판매되며, 개별 팬티를 따로 구매하는 것은 불가능합니다. 다른 상품 중에서 원하시는 제품이 있으시다면 안내해 드리겠습니다.

만약 요일팬티 7종 세트를 구매하려고 한다면, 전체 세트를 주문해 주시면 감사하겠습니다.","get_product_options,search_product",ok
